Token ID,Bullish Bear Rating,Vessel Type,Vessel Frequency,Class,Class Frequency,Weapon,Weapon Frequency,Secondary Weapon,Secondary Frequency,Shield,Shield Frequency,Propulsion,Propulsion Frequency,Material,Material Frequency,Extra,Extra Frequency
0,7927,Minesweeper,339,Ticonderoga,302,Photon Beam,588,Gravimetric Torpedo,540,Electromagnetic,678,Solid Fuel Rocket of Cancer,147,Copper,402,Escape Pod of Capricorn,92
1,1625,Scout Ship of Taurus,9,Soryu,338,Lightning The Destroyer Plasma Beam of Virgo +1,3,Fractional Orbital Bombardment,585,Quasar of Pisces,9,Antimatter Rocket,395,Vibranium,377,Disco Light of Aquarius,32
2,7852,Dreadnought,350,Brandenburg,320,Electron Beam,525,Positron Torpedo,576,Plasma,737,Kryptonite Thruster,405,Vibranium,377,Escape Pod of Capricorn,92
3,6111,Medical,325,Cavour,328,Plasma Beam,578,Kinetic Energy Blast,610,Electromagnetic,678,Fission-Fragment,352,Glass,349,Escape Pod,930
4,7521,Dreadnought,350,Cavour,328,Photon Beam,588,Hydrogen Bomb of Aries,83,Quantum,709,Fission-Electric,407,Silicon Carbide of Aquarius,52,Warp Core,962
5,1763,Anti-gravitational Havoc Tug of Pisces +1,1,Admiral Kuznetsov,328,Particle Beam of Pisces,34,Gravimetric Torpedo,540,Quasar,728,Fusion-Fragment of Scorpio,62,Titanium,382,Disco Light,960
6,2550,Dreadnought,350,Flaming Voyager Soryu of Gliese 667C +1,2,Tetryon Canon,578,Hydrogen Bomb,569,Electromagnetic,678,Fission-Fragment,352,Wooden,407,Tractor Beam of Gliese 667C,43
7,7366,Medical,325,Nimitz,316,Photon Beam,588,Hydrogen Bomb,569,Dark Energy,707,Fission-Fragment,352,Titanium of Capricorn,44,Tractor Beam,917
8,1362,Quantum The Powerful Battleship of Scorpio,1,Nimitz,316,Tetryon Canon,578,Kinetic Energy Blast,610,Dark Energy,707,Doomsday Voyager Magnetoplasmadynamic Thruster of Leo,5,Silicon Carbide,352,Killer Drone,962
9,6117,Tug,343,Missouri,309,Starburst Stream,610,Photon Torpedo,582,Quantum,709,Nuclear Fusion,365,Glass,349,Escape Pod,930
10,6452,Cruiser,363,Nimitz,316,Gravity Canon,567,Electromagnetic Pulse Bomb,560,Dark Energy,707,Alcubierre Drive,378,Copper,402,Killer Drone,962
11,7597,Tug,343,Rutherford,352,Electron Beam,525,Thermonuclear Bomb,514,Gravitational,689,Fission-Fragment,352,Diamond,387,Escape Pod of Libra,71
12,5587,Dreadnought,350,Brandenburg of Gemini,15,Particle Beam,574,Rail Gun,551,Nuclear,711,Antimatter Rocket of Aries,162,Tungsten Carbide,571,Cocktail Bar of Gemini,44
13,5346,Medical,325,Cavour,328,Starburst Stream,610,Gravimetric Torpedo,540,Nuclear of Aquarius,10,Magnetic Sail,378,Tungsten Carbide,571,Warp Core,962
14,4267,Tug of Pisces,4,Liaoning,323,Tetryon Canon,578,Thermonuclear Bomb,514,Plasma of Aquarius,8,Magnetic Sail,378,Gold,559,Killer Drone,962
15,7649,Carrier,289,Kirov,314,Electron Beam,525,Rail Gun,551,Dark Energy,707,Magnetic Sail,378,Carbon Fibre,379,Escape Pod of Tau Ceti,79
16,7593,Battleship,328,Brandenburg,320,Pulse Canon,612,Kinetic Energy Blast,610,Electromagnetic,678,Fusion-Fragment of Scorpio,62,Titanium,382,Disco Light,960
17,819,Supercosmic Catastrophe Supply Ship of Aquarius,1,Arleigh Burke,327,Proton Beam,567,Rail Gun,551,Lightning The Powerful Gamma of Virgo +1,2,Ion Thruster,386,Graphene of Pisces,39,Cocktail Bar,978
18,4676,Scout Ship of Wolf 1961,4,Liaoning,323,Pulse Canon,612,Rail Gun of Cancer,73,Quasar,728,Fission-Electric,407,Adamantium,407,Disco Light,960
19,5471,Frigate of Cancer,11,Cavour,328,Particle Beam,574,Photon Torpedo,582,Quantum,709,Kryptonite Thruster,405,Gold,559,Tractor Beam,917
20,297,Dreadnought,350,Ticonderoga,302,Particle Beam of Pisces,34,Quantum Catastrophe Fractional Orbital Bombardment of Scorpio,5,Electromagnetic,678,Overclocked The Destroyer Kryptonite Thruster of Sagittarius +1,4,Copper,402,Galactic Havoc Killer Drone of Wolf 1961,7
21,5138,Frigate,328,Rutherford,352,Particle Beam,574,Positron Torpedo,576,Dark Energy of Wolf 1961,12,Fission-Electric,407,Graphene of Sagittarius,36,Disco Light of Scorpio,36
